PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
2984,144206537,5282422,CCN(CC)CC1=NC=CN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)C3=CC=CC=C3Cl.C(=C/C(=O)O)\C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2985,144206538,151075,C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2986,144206539,157920,CCCCC([C@]1(CC[C@H]2[C@H](O1)CC(=O)[C@@H]2CCCCCCC(=O)O)O)(F)F,Inconclusive,30.0,,,inconclusive antagonist,inconclusive antagonist,0.0501111,-20.1042,inactive,,0,APAC
2987,144206540,5281104,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C3C[C@H](C[C@@H](C3)O)O)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2988,144206541,5284533,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)O,Inconclusive,20.0,,,active agonist,active agonist,0.390482,49.0751,inactive,,0,APAC
2989,144206542,3002119,CC1=NC=C(C(=N1)N)CN(C=O)/C(=C(\CCO)/SSCC2CCCO2)/C,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,26.6032,-117.64,active antagonist,32.2305,-36.9538,APAC
2990,144206543,444021,CC1=CC=C(C=C1)S(=O)(=O)O.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)OCOC(=O)[C@H]4C(S(=O)(=O)[C@H]5N4C(=O)C5)(C)C)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2991,144206544,8980,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2992,144206545,68741,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC=C4[C@@]3(CCC(=C4)C(=O)O)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2993,144206546,60613,C1=CN(C(=O)N=C1N)C[C@@H](CO)OCP(=O)(O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2994,144206547,157690,C[C@@H]1C2=C(CN1)C=C(C=C2)C3=C(C4=C(C=C3)C(=O)C(=CN4C5CC5)C(=O)O)OC(F)F.CS(=O)(=O)O.O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2995,144206548,15008962,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC(F)F)OC.[Na+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2996,144206549,16052015,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)OC3C4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)OP(=O)(O)O)OC)O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2997,144206550,441244,C1=CN=C(N=C1)[N-]S(=O)(=O)C2=CC=C(C=C2)N.[Ag+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2998,144206551,60754,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
2999,144206552,60754,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3000,144206553,12019456,C[C@@H]([C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C\3/C[C@H](C[C@@H](C3=C)O)O)C)OCCC(C)(C)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3001,144206554,2225,CC1=C(C(C(=C(N1)C)C(=O)OCC(=O)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,27.644,-111.418,active antagonist,28.7255,-90.3903,APAC
3002,144206555,134018,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O,Inconclusive,20.0,,,active agonist,active agonist,0.0361632,78.9721,inactive,,0,APAC
3003,144206556,71310,CCC1(CC2=CC=CC=C2C1)C3=CN=CN3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3004,144206557,5281065,CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O.CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O.C(=C/C(=O)O)\C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3005,144206558,43231,C1=C(C(=CC(=C1N)S(=O)(=O)N)S(=O)(=O)N)C(=C(Cl)Cl)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3006,144206559,208898,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,31.0171,-126.503,active antagonist,29.8493,-94.6982,APAC
3007,144206560,441199,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3008,144206561,443868,CC1=C([C@@H](C(=C(N1)C)C(=O)O[C@H]2CCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,,,inconclusive antagonist,29.8493,-62.9343,APAC
3009,144206562,656602,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)CCF.[Br-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3010,144206563,60196343,C[C@@H]1CN(CCN1[C@H](COC)C2=CC=C(C=C2)C(F)(F)F)C3(CCN(CC3)C(=O)C4=C(N=CN=C4C)C)C.C(=C\C(=O)O)\C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3011,144206564,154256,CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O.CC(=O)O,Active,90.0,,,active antagonist,active antagonist,0.0203361,-136.394,inconclusive antagonist,3.1618,-45.0461,APAC
3012,144206565,65332,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CC[N+](CC4)(C)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)N6CC[N+](CC6)(C)C)C.[Br-].[Br-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3013,144206566,5284514,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC(=N3)/C=C/C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3014,144206567,23665728,C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)[O-].[Na+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3015,144206568,23665728,C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)[O-].[Na+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3016,144206569,11658860,C[C@H]1CNCCC2=C1C=C(C=C2)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3017,144206570,54671008,CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3018,144206571,56031,CC1=C(C(=CC=C1)CC2=CN=CN2)C.Cl,Inconclusive,30.0,,,inconclusive antagonist,inconclusive antagonist,5.30804,-54.8598,inactive,,0,APAC
3019,144206572,164457,CC1(OC[C@H](O1)COC(=O)CCC2=CC=C(C=C2)OC[C@H](CNCCNC(=O)N3CCOCC3)O)C.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3020,144206573,60196338,C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O.C(C(C(=O)O)O)(C(=O)O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3021,144206574,3395,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)OC(C)OC(=O)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3022,144206575,62581,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-],Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,27.644,-75.713,active antagonist,32.2305,-30.5574,APAC
3023,144206576,60714,CC(CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])O.[Gd+3],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3024,144206577,68654,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)[O-])C3=CC=C(C=C3)OS(=O)(=O)[O-].[Na+].[Na+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3025,144206578,229295,CCCCCCC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C,Inconclusive,10.0,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,APAC
3026,144206579,6918580,CC(C(=O)OCC[N+](C)(C)C)OC(=O)C.CC(C(=O)OCC[N+](C)(C)C)OC(=O)C.C1=CC2=C(C=CC=C2S(=O)(=O)[O-])C(=C1)S(=O)(=O)[O-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3027,144206580,6918580,CC(C(=O)OCC[N+](C)(C)C)OC(=O)C.CC(C(=O)OCC[N+](C)(C)C)OC(=O)C.C1=CC2=C(C=CC=C2S(=O)(=O)[O-])C(=C1)S(=O)(=O)[O-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3028,144206581,71470,CCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)COC(=O)CC,Inconclusive,20.0,,,active agonist,active agonist,0.00779114,125.508,inconclusive antagonist,35.476,-44.8383,APAC
3029,144206582,55483,C1=CC=C(C=C1)CCNCCCCCCNCCC2=CC(=C(C=C2)O)O,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,26.6032,-62.0899,APAC
3030,144206583,21070,CCCCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3031,144206584,259329,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)(O)O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl,Inactive,0.0,,,inactive,inactive,,0,inconclusive agonist,,,APAC
3032,144206585,53315792,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)OC(=O)C3=CC=CC=C3C(=O)O)O)COC(=O)C)O)OC(=O)C4=CC=CC=C4C(=O)O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3033,144206586,6917787,CC1=CC=CC=C1N2CCN(CC2)CCC3=NN=C4N3CCCC4.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3034,144206587,24762,CCCCCCCCCCCCCCCCCC(=O)OCCO,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3035,144206588,644077,C1C[C@H](N(C1)C(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3036,144206589,5284483,CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Zn+2],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3037,144206590,20054942,CN[C@H]1C[C@H]([C@@H]([C@H]([C@@H]1O)O[C@H]2[C@@H]3[C@H]([C@H]([C@H](O2)CO)O)OC4(O3)[C@@H]([C@H]([C@H]([C@H](O4)C(CO)N)O)O)O)O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,APAC
3038,144206591,15895902,CCC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C.[Na+],Inconclusive,20.0,,,active agonist,active agonist,26.6032,53.6472,inactive,,0,Apin
3039,144206592,10288,CC1=CC2=C(C(=C1)O)C(=C3C(=C2)C=CC=C3O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Apin
3040,144206593,999,C1=CC=C(C=C1)CC(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,ART-CHEM
3041,144206594,10382,C1=CC=C(C=C1)NC(=O)CS,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,ART-CHEM
3042,144206595,2723816,CCC(=O)[O-].[Na+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,ASDI
3043,144206596,4117,CC(CC1=CC=CC=C1OC)NC,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,ASDI
3044,144206597,6322,C(C[C@@H](C(=O)O)N)CN=C(N)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,ASDI
3045,144206598,5833,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,Active,45.0,,,active antagonist,active antagonist,24.6377,-67.2847,inactive,,0,Asinex
3046,144206599,4595,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Asinex
3047,144206600,6249,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Asinex
3048,144206601,171548,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Asinex
3049,144206602,64949,C1=CC(=CC=C1C(=N)N)OCCCOC2=CC=C(C=C2)C(=N)N,Inconclusive,30.0,,,inconclusive antagonist,inconclusive antagonist,6.68242,-25.7373,inactive,,0,Beta Pharma
3050,144206603,23327,C(CC(=O)O)[C@H](C(=O)O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
3051,144206604,33032,C(CC(=O)O)[C@@H](C(=O)O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
3052,144206605,71346,CS(=O)(=O)O.C1CCC2(C1)CC(=O)N(C(=O)C2)CCNCC3COC4=CC=CC=C4O3,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,33.4915,-40.6604,active antagonist,33.4915,-59.051,BIOMOL
3053,144206606,443385,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)OP(=O)(O)O)O)O)[C@H](C)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
3054,144206607,16211197,C([C@H](C(=O)O)N)C(=O)N.O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
3055,144206608,6433339,CC[N+](CC)(CC)CCOC1=CC=C(C=C1)/C=C/C2=CC=CC=C2.[I-],Active,45.0,,,active antagonist,active antagonist,27.644,-75.0157,inactive,,0,BIOMOL
3056,144206609,4436,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
3057,144206610,6420042,C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24.C(=C\C(=O)O)\C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
3058,144206611,55652,CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N3CCCC3)C(=O)CC4=CC(=C(C=C4)Cl)Cl,Inconclusive,30.0,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,BIOMOL
3059,144206612,9305,C1=C(C=C(C(=C1I)O)I)C[C@@H](C(=O)O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
3060,144206613,135508550,C[C@H]1C(=O)N[C@H](C(=O)N/C(=C\NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@H]2CCNC(=N2)N)CNC(=O)C[C@H](CCCN)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
3061,144206614,5283344,CCCCCC(/C=C/C=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
3062,144206615,92151,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOTREND
3063,144206616,6328684,CCCCNC(C)(C)[P+](=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Bosche
3064,144206617,23672302,CC(C)(C)C1=CC2=C(C=C1)C(=C(C=C2)C(C)(C)C)S(=O)(=O)[O-].[Na+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Bosche
3065,144206618,6400441,C[C@H]([C@@H](CO)NC(=O)[C@@H]1CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)C(C)O)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)[C@@H](CC5=CC=CC=C5)N)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Bosche
3066,144206619,44460585,CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@@H]([C@@H](O7)C)NC(=O)C)OC)OC)\C)C,Inconclusive,30.0,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Bosche
3067,144206620,240,C1=CC=C(C=C1)C=O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,CarsonNewman-SPECS
3068,144206621,9719,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,11.8832,-90.3066,inconclusive antagonist,23.7101,-70.0975,Chembridge
3069,144206622,3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,Inconclusive,20.0,,,active agonist,active agonist,23.7101,65.0211,inactive,,0,Chembridge
3070,144206623,135565635,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,0.348017,-35.2519,active antagonist,0.223838,-38.5286,Chemdea
3071,144206624,3055,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Chemdiv
3072,144206625,5702068,CC(=O)OCC(=O)[C@]1(CCC2[C@@]1(C[C@@H](C3C2CCC4=CC(=O)CC[C@]34C)O)C)O,Inconclusive,20.0,,,active agonist,active agonist,0.110053,100.945,inactive,,0,Chemdiv
3073,144206626,65800,C1CN1P2(=NP(=NP(=N2)(N3CC3)N4CCOCC4)(N5CC5)N6CC6)N7CC7,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Chemical Block
3074,144206627,5507,CC1=C(C=CC(=C1)NC2=CC=CC=C2C(=O)O)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Chemical Block
3075,144206628,7558,CC(CC1CCCCC1)NC,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Chemical Block
3076,144206629,114948,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@@H]4C[C@H]5[C@@H](CC6=CNC7=CC=CC5=C67)N(C4)C)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Chemical Block
3077,144206630,11556711,CC(C)C[C@@H](C(=O)[C@]1(CO1)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,0.0310171,-66.2933,active antagonist,0.0721552,-48.0202,ChemieTek
3078,144206631,8293,COP(=S)(OC)OC1=CC=C(C=C1)S(=O)(=O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Chemos
3079,144206632,148192,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,29.8493,-59.5904,Chemos
3080,144206633,50491,CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)OCOC(=O)C(C)(C)C)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,ChemPacific
3081,144206634,1923,C1=CC2=C(C(=C1)O)N=CC=C2,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,14.9601,-110.581,active antagonist,9.43918,-61.3035,Columbia
3082,144206635,6317,CC(C)NCC(C1=CC=C(C=C1)[N+](=O)[O-])O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Enamine
3083,144206636,21640,C1=CC=C(C=C1)N2C(=NN=N2)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Enamine
3084,144206637,54339,C1=CC=C(C=C1)CCNC2=NC(=CS2)C3=CC=CC=C3,Inconclusive,20.0,,,active agonist,active agonist,1.49601,100.913,inactive,,0,Enamine
3085,144206638,107807,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Enamine
3086,144206639,148124,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,45.5268,-42.8524,active antagonist,24.6377,-82.822,FLUKA
3087,144206640,13755,CCOC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,FLUKA
3088,144206641,16682987,CCCCCCCCCCCCCCCCCC(=O)O[Al].O.O,Inconclusive,20.0,,,active agonist,active agonist,13.3332,32.2187,inactive,,0,FLUKA
3089,144206642,23705,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],Active,46.0,,,active antagonist,active antagonist,31.0171,-103.709,inconclusive antagonist,,,FLUKA
3090,144206643,6058,C(CS)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,FLUKA
3091,144206644,16760141,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N/OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,Inconclusive,10.0,,,inconclusive agonist (cytotoxic),inconclusive agonist,0.037578,22.4107,inconclusive antagonist,10.5909,-31.9836,FLUKA
3092,144206645,443382,CCCCCCCCCCCCCCCC(=O)OC[C@H]([C@@H](C1=CC=C(C=C1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,Inconclusive,10.0,,,inconclusive agonist,inconclusive agonist,16.7855,23.5298,inactive,,0,FLUKA
3093,144206646,12449,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3.OS(=O)(=O)[O-],Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,5.5157,-124.261,active antagonist,5.5157,-121.227,FLUKA
3094,144206647,8111,C(CNCCN)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,FLUKA
3095,144206648,77942,CC(C)N(CCCl)C(C)C.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,FLUKA
3096,144206649,,,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,FLUKA
3097,144206650,3032281,CCCCCCCCCCCCCCCC(=O)OC[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,FLUKA
3098,144206651,6904,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,FLUKA
3099,144206652,93184,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC5=C(CCC5)C=C4)C(=O)O)C,Inconclusive,10.0,,,inconclusive agonist,inconclusive agonist,18.8336,22.8907,inactive,,0,GVK
3100,144206653,8550,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=CC=CC=C45)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,29.8493,-71.8982,inconclusive antagonist,31.618,-37.647,GVK
3101,144206654,444212,C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,INDOFINE
3102,144206655,5282593,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,INDOFINE
3103,144206656,444266,C(=C\C(=O)O)\C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,INDOFINE
